name,artists,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,sentiment_score,dominant_topic
Maximum Piss And Vinegar,dillinger four,0.4433198380566802,0.955,0.8739214650466631,0.1142263759086189,0.0005983935742971,5e-05,0.1633266533066132,0.5993945509586276,0.3643510361264528,0.1188775510204081,0
Fortunately,bellabeth,0.5364372469635628,0.285,0.6619877745075844,0.0375908618899273,0.8785140562248996,0.0,0.1212424849699398,0.2643794147325933,0.4697460887197328,0.0692640692640692,9
A Falls River Farewell,life lost,0.2834008097165992,0.979,0.852841294996604,0.142263759086189,4.307228915662651e-05,0.507,0.3667334669338677,0.1876892028254288,0.4683356976121466,0.1,8
Hey Baby - Remastered 2019,dj ötzi,0.5718623481781376,0.979,0.8117626342665962,0.0718587746625129,0.0002520080321285,3.83e-06,0.938877755511022,0.5126135216952573,0.5314517216991739,0.4222222222222222,3
Uptight [Everything's Alright],stevie wonder tina turner mick jagger rock hall jam band,0.6497975708502024,0.909,0.7733755942947702,0.0471443406022845,0.3795180722891565,0.000129,0.3196392785571142,0.8809283551967709,0.5537318131088699,0.1678821178821178,4
Can't Help Falling in Love,michael bublé,0.2368421052631579,0.316,0.665861695972631,0.0304257528556593,0.7429718875502008,0.0111,0.0923847695390781,0.0977800201816347,0.7114748602895186,0.4555555555555556,4
Run Away and Hide,hippos,0.5688259109311742,0.871,0.8557844690966719,0.0301142263759085,0.0013253012048192,2.65e-05,0.2444889779559118,0.7426841574167508,0.5723775923601772,0.4111111111111111,9
The Darkest Red,agony scene,0.5080971659919028,0.997,0.8917062863180137,0.0922118380062305,1.3755020080321284e-05,0.318,0.0854709418837675,0.0735620585267406,0.3883358611357532,0.0,8
Banana Song - Rz Remix,illegal substance,0.72165991902834,0.865,0.8176741378009207,0.053478712357217,0.0163654618473895,1.93e-06,0.1152304609218436,0.7759838546922301,0.4495059543033281,0.0772222222222222,4
Square Zero,alex isley,0.6072874493927125,0.627,0.7846954946796468,0.1111111111111111,0.751004016064257,0.00902,0.1533066132264529,0.1543895055499495,0.569777567014018,0.0848571428571428,4
Dreamer,household,0.4848178137651822,0.486,0.7415792518803612,0.0279335410176531,0.0061044176706827,0.00128,0.1132264529058116,0.2734611503531786,0.4251899939905075,0.3033333333333333,5
Serious (feat. Burna Boy),spinall,0.8350202429149797,0.682,0.8009709958996806,0.0446521287642782,0.1847389558232931,0.0416,0.0971943887775551,0.5731584258324923,0.4415055618466721,0.096875,0
Nova,sound arrows,0.4919028340080971,0.885,0.7345860689759264,0.0508826583592938,0.0012048192771084,0.013,0.6192384769539078,0.4813319878910191,0.5231488105701659,0.0923076923076923,9
These Friends of Mine,rosie thomas,0.3633603238866396,0.334,0.7084496767539556,0.0387331256490134,0.6987951807228916,3.53e-06,0.3857715430861723,0.3773965691220989,0.2812973962953727,0.4088162878787879,0
Waimanalo,kawika kahiapo,0.6852226720647774,0.356,0.6522023495082132,0.0264797507788161,0.923694779116466,0.007,0.1162324649298597,0.4954591321897073,0.4033146235073361,0.3144444444444445,3
Modern Misery,architects,0.5394736842105263,0.971,0.8362387744321184,0.0784008307372793,0.0003644578313253,0.000216,0.1503006012024048,0.3471241170534813,0.4741285213786675,0.1317171717171717,8
JoHn Muir,schoolboy q,0.6912955465587045,0.921,0.8274344074661032,0.2357217030114226,0.0803212851405622,1.46e-06,0.2254509018036072,0.6306760847628657,0.6544541786413641,0.1321428571428571,7
"Nobody Gets Out Alive, Pt. II",le castle vania,0.6224696356275303,0.929,0.8973410811762634,0.1246105919003115,7.660642570281125e-05,0.0189,0.3306613226452906,0.1624621594349142,0.5307853630019663,0.1,5
All The Other Girls (Demo),avid dancer,0.7388663967611336,0.621,0.6909667194928685,0.0395638629283489,0.0064558232931726,0.56,0.1432865731462925,0.5176589303733602,0.4905422033988382,0.0,0
I Called You,lily frost,0.6265182186234818,0.629,0.7843181646668176,0.0518172377985462,0.4166666666666667,8.79e-05,0.1763527054108216,0.6427850655903128,0.5088159664449559,-0.09375,8
Super Luv,ultra,0.7732793522267206,0.8,0.8232083113224159,0.1422637590861888,0.0155622489959839,1.01e-06,0.0486973947895791,0.5560040363269425,0.3681120790800162,-0.0020544455544455,7
Dilemma,asm,0.6305668016194332,0.611,0.7405227278444394,0.2502596053997923,0.1606425702811245,0.0,0.2014028056112224,0.313824419778002,0.2863093948400126,-0.0227470446220446,8
Little By Little,susan tedeschi,0.6508097165991903,0.515,0.7225869745679572,0.0530633437175493,0.3052208835341365,0.0,0.2755511022044088,0.6458123107971746,0.5053656183440782,-0.0142857142857142,3
The Old Kind of Summer,black heart procession,0.4220647773279352,0.225,0.6801247704575755,0.0325025960539979,0.9919678714859438,0.0038,0.08937875751503,0.0769929364278506,0.5557758581923282,0.0199999999999999,9
Crazy Legs,hed pe,0.6143724696356275,0.775,0.812492138958066,0.2772585669781932,0.0019578313253012,1.15e-06,0.0916833667334669,0.7426841574167508,0.4171936896240183,-0.04001554001554,7
Heart To Heart - Re-EQ'd Version,pointer sisters,0.75,0.622,0.6906900108167937,0.0384215991692627,0.0849397590361445,0.0,0.0476953907815631,0.893037336024218,0.5090408114041364,0.18,0
Public Enemy No.1,999,0.7206477732793523,0.518,0.5849369858878575,0.0442367601246105,0.7680722891566265,0.00967,0.097194388777555,0.9697275479313824,0.5678357241847327,-0.1781249999999999,3
Someone to Hold,trey lorenz,0.6012145748987854,0.505,0.6582647850476694,0.0402907580477673,0.4427710843373494,0.0,0.0824649298597194,0.6195761856710393,0.6046694165886523,0.1413043478260869,5
Found,fucked,0.3927125506072874,0.927,0.7693255854904033,0.0607476635514018,0.0002871485943775,0.00637,0.1543086172344689,0.4601412714429869,0.65416801232968,0.0269047619047618,0
You Are My Song,company,0.3866396761133603,0.138,0.5596307196941112,0.0414330218068535,0.9518072289156626,0.0,0.0806613226452905,0.1715438950554995,0.4844427728697985,0.1777777777777777,5
Sometimes Love Just Ain't Enough (feat. Tyler Reese Tritt),travis tritt tyler reese tritt,0.44331983805668,0.444,0.738132971096521,0.0329179646936656,0.7369477911646588,0.0,0.0845691382765531,0.2936427850655903,0.6824248915634084,0.1210526315789473,5
